#,Business Name,Website Status,Existing Website,Phone,Email,Full Address,Town,Postcode,Google Maps Link,Is Lead?,Notes,Outreach Status,Owner,Next Action,Last Contacted
1,Dr. Bernhard Kloiboeck,Broken website,http://www.kloiboeck-zahnarzt.at/,+43 732 671650,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.2766053,14.2519883",Yes,HTTP 404,Not contacted,,,
2,Dr. Klose,Broken website,http://www.drklose.at/,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.2917837,14.2721128",Yes,URLError,Not contacted,,,
3,DDr. Schmitt-Wietzorrek,No website,,+43 732 77 03 65,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3011623,14.2907225",Yes,,Not contacted,,,
4,Dr. Aleksandar Joldzic,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3100308,14.2839126",Yes,,Not contacted,,,
5,Dr. Alexander Streif,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3346982,14.3109776",Yes,,Not contacted,,,
6,Dr. Harald Hiesmayr,No website,,+43 732 731431,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3155108,14.2802209",Yes,,Not contacted,,,
7,Dr. Helmut Hager,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.2854654,14.2833831",Yes,,Not contacted,,,
8,Dr. Lukas Ettel,No website,,,,"Herrenstraße 52, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.2986425,14.2874233",Yes,,Not contacted,,,
9,Dr. Lukas Hosner,No website,,+43 732 24 59 66,,"Karl-Renner-Straße 3, 4040 Linz",Linz,4040,"https://www.google.com/maps/search/?api=1&query=48.3315598,14.3180978",Yes,,Not contacted,,,
10,Dr. Martha Schneider,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3345018,14.2922071",Yes,,Not contacted,,,
11,Dr. Reither,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3408765,14.4249219",Yes,,Not contacted,,,
12,Dr. Seebacher,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.335035,14.1722345",Yes,,Not contacted,,,
13,Mayrhauser Dental,No website,,+43 732 670878,office@mayrhauser.at,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.2795516,14.2474974",Yes,,Not contacted,,,
14,Zahnarztpraxis Dr. Fischer,No website,,,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3786248,14.1978555",Yes,,Not contacted,,,
15,DDr. Christina Maria Penzl,Has website,https://zahnarzt-penzl.at,+43 732 24 39 87,,"Dornacher Straße 9, 4040 Linz",Linz,4040,"https://www.google.com/maps/search/?api=1&query=48.331793,14.3109817",No (has site),,Not contacted,,,
16,DDr. Christoph Sacher,Has website,https://dr-sacher.at,+43 732 651330,praxis@dr-sacher.at,"Tegetthoffstraße 15, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.2939748,14.2874698",No (has site),,Not contacted,,,
17,DDr. Kirsten Pammer,Has website,https://www.ddr-pammer.info/,+43 732 611 622,,"Landstraße 80, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.2966364,14.2916202",No (has site),,Not contacted,,,
18,Dr. Mani Goharkhay,Has website,https://www.zahnarztpraxis-linz.at/,+43 732 250725,zahnarzt@goharkhay.at,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3294205,14.3029677",No (has site),,Not contacted,,,
19,Zahnambulatorium Linz,Has website,https://www.bvaeb-ambulatorien.at/,+43 50 405-37240,amb.linz@bvaeb.at,"Bahnhofplatz 3-6 Top 25, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.2907872,14.291616",No (has site),,Not contacted,,,
20,Zahnambulatorium Linz Derfflingerstraße,Has website,http://www.ooegkk.at,+43 5 7807103300,zahnambulatorium.linz@ooegkk.at,"Derfflingerstraße 2a, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.3054772,14.306769",No (has site),,Not contacted,,,
21,Zahnambulatorium Linz Hafenstraße,Has website,http://www.ooegkk.at,+43 5 7807-213300,zahnambulatorium.hafenstrasse@ooegkk.at,"Industriezeile 2, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.3184156,14.3092736",No (has site),,Not contacted,,,
22,Zahnambulatorium Linz Kleinmünchen,Has website,http://www.ooegkk.at,+43 5 7807-233300,zahnambulatorium.kleinmuenchen@ooegkk.at,"Zeppelinstraße 58, 4030 Linz",Linz,4030,"https://www.google.com/maps/search/?api=1&query=48.253527,14.3130827",No (has site),,Not contacted,,,
23,Zahnambulatorium Linz Voest,Has website,http://www.ooegkk.at,+43 5 7807-253300,zahnambulatorium.voest@ooegkk.at,"Stahlstraße 2-4, 4020 Linz",Linz,4020,"https://www.google.com/maps/search/?api=1&query=48.283048,14.3192565",No (has site),,Not contacted,,,
