Priority,Niche,Business Name,Website Status,Phone,Email,Street,Postcode,Town,Source URL (if broken),Notes,Outreach Status,Owner,Next Action,Last Contacted
HOT - broken site,Dentist,Dr. med. dent. Miro Mirkovic,Broken website,+43 732 674566,office@zahnarzt-mirkovic.at,Michaelsbergstraße 5,4060,Leonding,https://www.zahnarzt-mirkovic.at,HTTP 500,Not contacted,,,
HOT - broken site,Dentist,Dr. Bernhard Kloiboeck,Broken website,+43 732 671650,,,,Linz area,http://www.kloiboeck-zahnarzt.at/,HTTP 404,Not contacted,,,
WARM - direct contact,Dentist,Mayrhauser Dental,No website,+43 732 670878,office@mayrhauser.at,,,Linz area,,,Not contacted,,,
WARM - direct contact,Dentist,DDr. Stefan Hunger,No website,+43 7235 643 33,,Marktplatz 5a,4210,Gallneukirchen,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Artner Rudolf,No website,+43 7229 70551-0,,Dr.-Knechtl-Straße,4050,Traun,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Christa Pisecky-Marschhofer,No website,+43732672284,,Karningstraße 7,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Lukas Hosner,No website,+43 732 24 59 66,,Karl-Renner-Straße 3,4040,Linz,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Reinhard Gratzl,No website,+43 732 682063,,Eigenheimstraße 18,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Ute Schnötzinger,No website,+43 732 332233,,Stadtplatz 14,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Veronica Szabo,No website,+43 732 678362,,Harterfeldstraße 56,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Dentist,DDr. Schmitt-Wietzorrek,No website,+43 732 77 03 65,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Dentist,Dr. Harald Hiesmayr,No website,+43 732 731431,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Dentist,Dr. Lukas Ettel,No website,,,Herrenstraße 52,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Dentist,Dr. Slana,No website,,,Im Fall 312,4225,Luftenberg an der Donau,,,Not contacted,,,
HOT - broken site,Doctor / Medical,Innere Medizin & Pneumologie,Broken website,+43 7229 74191,info@lungendoc.at,Kremstalstraße 20,4050,Traun,https://lungendoc.at/,URLError,Not contacted,,,
HOT - broken site,Doctor / Medical,Dr. Andreas Ferschner-Huber,Broken website,+43 732 670462,ordination@ferschner-huber.at,,,Linz area,http://www.ferschner-huber.at,URLError,Not contacted,,,
HOT - broken site,Doctor / Medical,Dr. Claudia Bell,Broken website,+43732674060,c.bell@med.at,,,Linz area,http://www.med.at/bell_claudia/,HTTP 404,Not contacted,,,
HOT - broken site,Doctor / Medical,Dr. Magdalena Liebhart,Broken website,+43 732 673 323,,Ehrenfellnerstraße 6,4060,Leonding,https://dr-liebhart.business.site/,HTTP 404,Not contacted,,,
HOT - broken site,Doctor / Medical,Dr. Osama GIRGIS,Broken website,+43 7229 634 51,,Leondingerstraße 58,4050,Traun,https://drmedgirgisosama.business.site/,HTTP 404,Not contacted,,,
HOT - broken site,Doctor / Medical,Dr. Gerhard Rensch,Broken website,+43 7229 80 049,,,4053,Ansfelden,https://www.ansfelden.at/service/notdienste/aerzte-fuer-allgemeinmedizin/,HTTP 404,Not contacted,,,
HOT - broken site,Doctor / Medical,Gesundheitszentrum am Berg Pöstlingberg,Broken website,,,Hohe Straße 199,4040,Gramastetten,https://hausamberg.at/,URLError,Not contacted,,,
HOT - broken site,Doctor / Medical,Teststraße im Gemeindeamt,Broken website,,,Marktplatz 1,4203,Altenberg bei Linz,https://www.altenberg.at/Corona_Informationsplattform,HTTP 500,Not contacted,,,
HOT - broken site,Doctor / Medical,Ärztezentrum,Broken website,,,Anton-Riepl-Straße 4,4210,Gallneukirchen,http://www.aerztezentrum-gallneukirchen.at/,URLError,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Michael Kiesenhofer,No website,+43 732 680530,kiesenhofer@nextra.at,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,DDr. Martin Haditsch,No website,+43 732 670580,,Hochstraße 6a,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Balouschek Franz,No website,+43 732 377100,,Landwiedstraße 140,4020,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Barbara Warnecke  Ärztin für Allgemeinmedizin,No website,+43732652218,,Unionstraße 3,4020,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Bernhard Kiesenhofer,No website,+43 732 6822600,,Meisterstraße 11,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Bernhard Kriechbaumer,No website,+43 732 673568,,Larnhauserweg 2,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Dieter Nitsche,No website,+43 732 675142,,Buchbergstraße 7,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Ernst Richter,No website,+43 732 782356,,Holzheimer Straße 104,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Gerlinde Rodemund,No website,+43 664 5405656,,Alpenblickstraße 38,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Isabella Roth,No website,+43 732 682835,,Buchbergstraße 1,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Johannes Füreder / Dr. Magdalena Liebhart,No website,+43 732 673323,,Harterfeldstraße 31,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Klaus Rolli,No website,+43 699 81165345,,Schulstraße 10,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Manuel Pröll,No website,+43732301675,,Fadingerplatz 13,4030,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Marietta Pernsteiner,No website,+43 732 678829,,Dallingerstraße 13,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Martina Fischer-Dieplinger,No website,+43 732 750666,,Mannheimstraße 9,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Michael Windner,No website,+43 7221 72516,,Neubauer Straße 26/1,4063,Hörsching,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Reinhold Függer,No website,+43732672611,,Alhartinger Weg 18,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Renate Thiele,No website,+43 664 5145199,,Herzogstraße 29,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Robert Edler,No website,+43 732 382643,,Siemensstraße 2,4030,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Thomas Eidherr,No website,+43732 252526,,Streimlingweg 1,4040,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Vinzenz Auersperg,No website,+43 699 11192868,,Fadingerplatz 13,4030,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Wolfgang Hehenwarter,No website,+43 732 670202,,Kariglstraße 1/2,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Wolfgang Wurdinger,No website,+43732673604,,Winkelstraße 6,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Frauenarzt Dr.Med. Wolfgang Pötzl,No website,+43 7229 75277,,Kremstalstraße 20,4050,Traun,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,HNO Dr. Klaus Mally,No website,+43 732 772870 0,,Landstraße 32,4020,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Labor Dr. Leisch,No website,+43 732 778688,,Waltherstraße 5,4021,Linz,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Urologie Traun,No website,+43 7229 65545,,Kremstalstraße 20,4050,Traun,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Andreas Pühringer,No website,+43732680404,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Anton Hamberger,No website,+43 7229 82806,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Carl-Christian Holzinger,No website,+43 732 315080,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Elmar Stockmair,No website,+43 732 731052,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Emil Schmöller,No website,+43 732 711511,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Erwin Kepplinger / Dr. Birgit Kepplinger,No website,+43 732 6751290,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Gerold Bauer,No website,+43 732 673376,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Jörg Rohringer,No website,+43 732 680056,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Kambiz Yazdi,No website,+43 664 4058580,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Karin Dunst-Huemer,No website,+43 732 732127,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Karl Pötscher,No website,+43 732 717771,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Klaudia Waser-Stadler,No website,+43 732 384544,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Klemens Kern,No website,+43 732 344 090,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Margot Gabriel-Pröll,No website,+43 732 673567,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Markus Sedlak,No website,+43 664 4398484,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Marlene Samhaber Stibal,No website,+43 732 672107,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. med. Katharina Mitter,No website,+43 7229 88625,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Nikolaus Matscheko,No website,+43 732 671001,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Rhona Füreder,No website,+43 732 678911,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Ursula Postl,No website,+43 732 674656,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Werner Hubatschek,No website,+43 732 673860,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Doctor / Medical,Dr. Werner Maier,No website,+43732674060,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Erich Podlaha,No website,,,Gesellenhausstraße 15,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Helmhart Premstaller,No website,,,Oberer Markt 22,4222,St. Georgen an der Gusen,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Lucia Borgmann,No website,,,Europaplatz 7,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Maria Forster,No website,,,Hallestraße 17,4030,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Mirjana Meissl,No website,,,Reiterstraße 6a,4111,Walding,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Otto Sailer,No website,,,Hauptplatz 15-16,,Linz area,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Petra Steinhart,No website,,,Traunuferstraße 22,4052,Ansfelden,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Schuster,No website,,,Kreuzfeld 14,4209,Schweinbach,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Schwanninger,No website,,,Am Bauernberg 26,4062,Kirchberg-Thening,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Schützeneder OG,No website,,,Pulvermühlstraße 23,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Silvia Lindauer,No website,,,Mayrhansenstraße 8,4060,Leonding,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Winfried Mraczansky,No website,,,Altenberger Straße 43,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr. Übeleis,No website,,,Kranholzstraße 3,4062,Kirchberg-Thening,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Dr.med. Auer Wolfgang,No website,,,Torbergweg 3,4030,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Gesundheitszentrum Herrenstraße,No website,,,Herrenstraße 54,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Gruppenpraxis Dr. Katharina Wehinger & Dr. Andreas Wehinger,No website,,,Mozartstraße 2a,4225,Luftenberg an der Donau,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Neurologische Ordination Univ-Doz Eggers,No website,,,Hagenstraße 33 b,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Ordination Dr. Schütz - Arzt für Allgemeinmedizin,No website,,,Kirchschlag 13a,4202,Kirchschlag bei Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,REHA Klinik Wilhering,No website,,,Am Dorfplatz 1,4073,Wilhering,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,voestalpine Betriebsmedizin,No website,,,Zentralstraße 26,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Doctor / Medical,Wolfgang Landerl,No website,,,Leonfeldnerstraße 158,4040,Linz,,,Not contacted,,,
WARM - direct contact,Physiotherapist,Reinhard Wögerhauer,No website,+43 699 17335566,wbphysio@drei.at,,,Linz area,,,Not contacted,,,
